,job_title,job_description,location,company_name,revenue,size,type_of_ownership,industry,sector,company_text,salary_estimate,rating,founded,employer_provided_salary,min_salary,avg_salary,max_salary,company_age,python_yn,r_yn,sql_yn,excel_yn,job_simplified,seniority,desc_length
0,Data Scientist - IT,"Job Location
Mumbai

Job Description

P&G was founded over 180 years ago as a simple soap and candle company. Today, we're the world’s largest consumer goods company and home to iconic, trusted brands that make life a little bit easier in small but meaningful ways. We've spanned three centuries thanks to three simple ideas: leadership, innovation and citizenship. The insight, innovation and passion of hardworking teams has helped us grow into a global company that is governed responsibly and ethically, that is open and transparent, and that supports good causes and protects the environment. This is a place where you can be proud to work and do something that matters.

Dedication from Us:
You'll be at the core of breakthrough innovations, be given exciting assignments, lead initiatives, and take ownership and responsibility, in creative work spaces where new ideas flourish. All the while, you'll receive outstanding training to help you become a leader in your field. It is not just about what you'll do, but how you'll feel: encouraged, valued, purposeful, challenged, heard, and inspired.


Continuous mentorship – you will collaborate with passionate peers and receive both formal training as well as day-to-day mentoring from your manager dynamic and supportive work environment– employees are at the centre, we value every individual and support initiatives, promoting agility and work/life balance.


We are an equal opportunity employer and value diversity at our company. Our mission of diversity and inclusion is: “Everyone valued. Everyone included. Everyone performing at their peak”.

Responsible for building advanced analytic (ML/AI/Optimization) algorithms within a Data Science program and working with Business Partners and Friends of Data Science to insert algorithms into business processes and activate them directly with the business.

Job Schedule
Full time

Job Number
R000062313

Job Segmentation
Experienced Professionals (Job Segmentation)

Job Qualifications",Mumbai,"Procter & Gamble
4.2",$10+ billion (USD),10000+ Employees,Company - Public,Consumer Product Manufacturing,Manufacturing,Procter & Gamble,₹21L - ₹22L (Glassdoor Est.),4.2,1837,0,21,21.5,22,185,0,1,0,0,data scientist,na,1997
1,Junior Data Scientist,"1+ years of hands-on experience with the Python or R, SQL
1+ yrs. of data science/analytics experience.
Experience with traditional Machine Learning
Well-developed analytical, logical and problem solving skills
Working knowledge of Statistics, common data science took kits
Excellent communication (written and oral) & technical writing skills
Working experience in containerized, cloud-based environments - AWS/Google could.
Experience with developing and maintaining CI/CD pipelines
Experience in designing, developing, deploying and operating scalable RESTful micro-services",Rājkot,Dhrima Solutions LLP,None,None,None,None,None,Dhrima Solutions LLP,Employer Provided Salary:₹2L - ₹3L,0.0,0,1,2,2.5,3,0,1,1,1,1,data scientist,junior,577
2,Data Science - Manager,"Audit Transformation – Data Science – Manager/Sr. Manager
Deloitte’s Audit and Assurance business embraces the promise of artificial intelligence and machine learning, with various forms of AI and ML embedded in the audit technology solutions currently used by our 10,000+ practitioners today. Within our dedicated Data Science organization, a subgroup of the Audit Transformation group, we continue that journey enabling the next generation of AI-enabled solutions that usher in a future that completely transforms the way our practitioners perform their audit work, and the insights we can provide to our clients.
The Data Science group consists of a blend of auditors and data scientists working hand-in-hand to capitalize on our world-class data assets and ideate, design, develop, deploy, and manage AI and ML solutions that can be integrated into our existing Omnia ecosystem to increase the quality of our audits, and automate mechanical processes. You will be joining a growing team of talented professionals dedicated to realizing the vision of an AI-enabled audit.",Bangalore,"Deloitte
4.1",$10+ billion (USD),10000+ Employees,Company - Private,Accounting & Tax,Finance,Deloitte,₹3L - ₹14L (Glassdoor Est.),4.1,1850,0,3,8.5,14,172,0,1,0,0,data scientist,senior,1074
3,Sr. Data Scientist,"Job Description
We are looking for Senior Data scientist to join our Data Analytics team (offices working in Hybrid model). This is an amazing opportunity to support the team for analysis of Real world data (RWD) by taking individual responsibility of assigned projects. The team consists of around 30 people and the reporting is to the Manager – Data Analytics.
Joining our team of Data analyst/Data scientist, you will support the team for analysis of Real-world data (RWD) by taking individual responsibility of assigned projects. As a member you will be conducting retrospective data analysis including data management and statistical programming as well as the development of RWD dashboards by translating the Methodology into complex algorithms in collaboration with Team.
Bachelor's/Master’s degree in computer engineering preferred
6+ Years’ experience in a Data Scientist role",Bangalore,"Clarivate
3.5",$2 to $5 billion (USD),10000+ Employees,Company - Public,Information Technology Support Services,Information Technology,Clarivate,₹11L - ₹21L (Glassdoor Est.),3.5,2016,0,11,16.0,21,6,0,1,0,0,data scientist,senior,885
4,PS Manager - Site Data Scientist,"Job Location
Bhopal

Job Description

P&G was founded over 180 years ago as a simple soap and candle company. Today, we're the world’s largest consumer goods company and home to iconic, trusted brands that make life a little bit easier in small but meaningful ways. We've spanned three centuries thanks to three simple ideas: leadership, innovation and citizenship. The insight, innovation and passion of hardworking teams has helped us grow into a global company that is governed responsibly and ethically, that is open and transparent, and that supports good causes and protects the environment. This is a place where you can be proud to work and do something that matters.

Dedication from Us:
You'll be at the core of breakthrough innovations, be given exciting assignments, lead initiatives, and take ownership and responsibility, in creative work spaces where new ideas flourish. All the while, you'll receive outstanding training to help you become a leader in your field. It is not just about what you'll do, but how you'll feel: encouraged, valued, purposeful, challenged, heard, and inspired.


Continuous mentorship – you will collaborate with passionate peers and receive both formal training as well as day-to-day mentoring from your manager dynamic and supportive work environment– employees are at the centre, we value every individual and support initiatives, promoting agility and work/life balance.


We are an equal opportunity employer and value diversity at our company. Our mission of diversity and inclusion is: “Everyone valued. Everyone included. Everyone performing at their peak”.


You will provide technical leadership in supporting OU innovation projects and act as a key enabler in leading and delivering results against challenges. You will work with the innovation team looking at new platforms, machine control, data processing and analytics. You will also:

Develop and plan required analytic projects in response to business needs. Leverage data science tools to solve the toughest process problems in the region.

Develop new analytics/predictive/prescriptive modeling methods and/or tools as required. Propose prescriptive analytic models to build robust and fault-tolerant process control strategies to reduce Operations Effort and improve product quality

Work with process/equipment experts and application developers to identify data relevant for analysis.

Contribute together with process/equipment owners and ITOT to the development and evolution of data models for analytical capabilities. Own data model and maintenance and development for hub-site

Develop and maintain data pipelines for the hub-site

Contribute to define work processes to deploy and maintain predictive/analytical modeling architectures, modeling standards, alarming and reporting, and data analysis methodologies.

Conduct external focus research to drive suggestions on analytical modeling products, services, protocols, and standards that might support and speed-up the smart manufacturing journey.

Identify, diagnose, and resolve prognostics model performance issue. Leverage Reliability Engineering enhance with data science to develop new solutions to reduce losses.


We are an equal opportunity employer and value diversity at our company. Our mission of Diversity and Inclusion is: “Everyone valued. Everyone included. Everyone performing at their peak”.

Job Schedule
Full time

Job Number
R000062410

Job Segmentation
Experienced Professionals (Job Segmentation)


Sufficient business knowledge to understand what data is important, when findings are relevant, and how to exploit data to make decisions.

Strong familiarity with data preparation and processing.

Strong analytical statistical and mathematical modeling capabilities to form hypothesis and to collect, explore, and extract insights from structure and unstructured data to rationally transform raw data into useful information to improve process/equipment operation and maintenance.

Efficient use of software for data visualization, statistical analysis and ML, e.g., Python, R, SAS, Azure ML, Matlab, PowerBi, Tableau, and familiarity with functional programming and scripting languages, e.g., .NET, VB, C++, Python, Matlab.

Understanding data architecture concepts, i.e., relational database structures, data warehouse, big data management, data queries, etc.

Technical understanding of mechatronic systems / first principles (combining principles of process, mechanic, electrical, control and systems engineering)

Teamwork attitude with clear technical communication",Bhopal,"Procter & Gamble
4.2",$10+ billion (USD),10000+ Employees,Company - Public,Consumer Product Manufacturing,Manufacturing,Procter & Gamble,₹22L - ₹22L (Glassdoor Est.),4.2,1837,0,22,22.0,22,185,1,1,0,0,data scientist,senior,4567
5,Supply Chain Network Data & Analytics Specialist,"Relocation Assistance Offered Within Country
# 141580 - Mumbai, Maharashtra, India

About Colgate-Palmolive:
Do you want to come to work with a smile and leave with one as well? In between those smiles, your day consists of connecting with others across the world, full of stimulating discussions, and making impactful contributions!
If this is how you see your career, Colgate is the place to be! Our diligent household brands, dedicated employees, and sustainability commitments make us a company passionate about building a future to smile about for our employees, consumers, and surrounding communities. We win as a global organization by continually learning and collaborating. The pride in our brand fuels a workplace that encourages creative thinking champions experimentation and promotes authenticity which has contributed to our enduring success. If you want to work for a company that lives by its values, then give your career a reason to smile...every single day.",Mumbai,"Colgate-Palmolive
4.2",$10+ billion (USD),10000+ Employees,Company - Public,Consumer Product Manufacturing,Manufacturing,Colgate-Palmolive,₹3L - ₹4L (Glassdoor Est.),4.2,1806,0,3,3.5,4,216,0,1,0,0,na,na,976
6,Sr. Data Scientist,"Our client Successful SA technology group is looking to hire a full-time remote Senior Data Scientist.
The Senior Data Scientist will actively lead the application of data science methods, which includes machine learning, deep learning, artificial intelligence and predictive analytics, required to meet the company’s business interests as well as that of their clients.
Relevant degree in Data Science, Statistics or equivalent quantitative field
Minimum 5+ years of experience
The ideal candidate would have knowledge in:
Machine learning",Remote,Insourcedev Pvt Ltd,None,None,None,None,None,Insourcedev Pvt Ltd,Employer Provided Salary:₹37L,0.0,0,1,37,37.0,37,0,0,1,0,0,data scientist,senior,540
7,Lead Data Scientist,"At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a company where diversity, equity and inclusion are shared values. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us.
Job Title: Experienced Data Analyst
Boeing is the world’s largest (Per Boeing LinkedIn page) aerospace company and a leading provider of commercial airplanes, defense, space, and security systems, and global services. Building on a legacy of over a century of innovation and leadership, Boeing continues to lead the way in technology and innovation, customer delivery, and investment in its people and future growth of aerospace.",Bangalore,"BOEING
3.8",$10+ billion (USD),10000+ Employees,Company - Public,Aerospace & Defence,Aerospace & Defence,BOEING,₹16L - ₹25L (Glassdoor Est.),3.8,1916,0,16,20.5,25,106,0,1,0,0,data scientist,senior,827
8,Data Science,"Responsibilities
Design and develop ML / NLP models for the project requirement
Deliver ownership to setup ML / NLP models with respect to tools, data and infrastructure as required
Work closely with Product Owner and Product architect right from ML based solution conceptualization till implementation in response to a client requirement
Thought leadership on building ML/NLP based solution based on client requirements
Lead the ML / NLP dialogue during the customer visits and other partner events
Required Skills & Competencies
Strong knowledge of machine learning / NLP algorithms– Information extraction, named entity recognition, text clustering, Knowledge Graph,text summarization, intent classification, word embeddings, vector space models; experience in developing models
Strong experience in NLP using Python; experience in developing microservices and web services
Understanding of data and data analysis; experience with large data sets
Thorough with pandas, scikit and numpy
4+ years of experience implementing and deploying machine learning and deep learning frameworks (Spark, TensorFlow, Keras, Caffe, etc.) through distribution cluster and application programming in cloud platforms including Azure, IBM, AWS and GCP.
Hands on experience Data Science / Big Data technology and architecture

4.00-13.00 Years",Mumbai,"Larsen & Toubro Infotech Limited
3.8",Unknown / Non-Applicable,10000+ Employees,Company - Public,Information Technology Support Services,Information Technology,Larsen & Toubro Infotech Limited,₹5L - ₹8L (Glassdoor Est.),3.8,1997,0,5,6.5,8,25,1,1,0,0,data scientist,na,1325
9,"Senior Analyst- Research & Insights- Data Science, Data Analyst","Data analyst, Deloitte Health Equity Institute, Center for Health Solutions, Deloitte Services LP
Background:
Deloitte has launched a new social innovation organization called the Deloitte Health Equity Institute (DHEI). DHEI is a data-driven pro bono services, philanthropic, and knowledge development hub within Deloitte’s Center for Health Solutions (DCHS). DCHS is one of the industry research Centers under the Research and Insights (R&I) group.
DHEI draws on Deloitte’s array of capabilities to activate health equity across the United States, helping to realize our firm’s Purpose by moving the field for public good and advancing equitable health outcomes at scale.
CBG_RI",Hyderābād,"Deloitte
4.1",$10+ billion (USD),10000+ Employees,Company - Private,Accounting & Tax,Finance,Deloitte,₹5L - ₹8L (Glassdoor Est.),4.1,1850,0,5,6.5,8,172,0,1,0,0,data scientist,senior,680
