,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,"Manager – Data Analytics & Scientific Computing @ L'Oreal, R&I, Mumbai","₹2,12,370 /yr (est.)","L'Oréal Research & Innovation might be exactly the place you have always been looking for !

For more than hundred years, L’Oréal believes that beauty needs Science. In a world now transformed by digital technology and the emergence of new scientific Domains, we are confident in our ability to turn these opportunities into major innovations, closely linked to the new consumer expectations all over the world. Science & Technology are allowing us to invent safe, trustable, sustainable & responsible beauty products and experiences that will change people’s lives.
L’Oréal R&I has continuously invested upstream in its research with a high level of ambition. Our 4000 L'Oréal R&I people are talented and highly skilled, located in major markets, working in a cooperative way, opened to the world.
India –",3.9,"L'Oreal
3.9",Mumbai,10000+ Employees,1909,Company - Private,Consumer Product Manufacturing,Manufacturing,$2 to $5 billion (USD)
1,Sr. Data Scientist,"₹9,70,217 /yr (est.)","Job Description
We are looking for Senior Data scientist to join our Data Analytics team (offices working in Hybrid model). This is an amazing opportunity to support the team for analysis of Real world data (RWD) by taking individual responsibility of assigned projects. The team consists of around 30 people and the reporting is to the Manager – Data Analytics.
Joining our team of Data analyst/Data scientist, you will support the team for analysis of Real-world data (RWD) by taking individual responsibility of assigned projects. As a member you will be conducting retrospective data analysis including data management and statistical programming as well as the development of RWD dashboards by translating the Methodology into complex algorithms in collaboration with Team.
Bachelor's/Master’s degree in computer engineering preferred
6+ Years’ experience in a Data Scientist role",3.5,"Clarivate
3.5",Bangalore,10000+ Employees,2016,Company - Public,Information Technology Support Services,Information Technology,$2 to $5 billion (USD)
2,Sr. Data Scientist,-1,"Our client Successful SA technology group is looking to hire a full-time remote Senior Data Scientist.
The Senior Data Scientist will actively lead the application of data science methods, which includes machine learning, deep learning, artificial intelligence and predictive analytics, required to meet the company’s business interests as well as that of their clients.
Relevant degree in Data Science, Statistics or equivalent quantitative field
Minimum 5+ years of experience
The ideal candidate would have knowledge in:
Machine learning",-1,Insourcedev Pvt Ltd,Remote,-1,-1,-1,-1,-1,-1
3,Data Science,"₹6,52,668 /yr (est.)","Responsibilities
Design and develop ML / NLP models for the project requirement
Deliver ownership to setup ML / NLP models with respect to tools, data and infrastructure as required
Work closely with Product Owner and Product architect right from ML based solution conceptualization till implementation in response to a client requirement
Thought leadership on building ML/NLP based solution based on client requirements
Lead the ML / NLP dialogue during the customer visits and other partner events
Required Skills & Competencies
Strong knowledge of machine learning / NLP algorithms– Information extraction, named entity recognition, text clustering, Knowledge Graph,text summarization, intent classification, word embeddings, vector space models; experience in developing models
Strong experience in NLP using Python; experience in developing microservices and web services
Understanding of data and data analysis; experience with large data sets
Thorough with pandas, scikit and numpy
4+ years of experience implementing and deploying machine learning and deep learning frameworks (Spark, TensorFlow, Keras, Caffe, etc.) through distribution cluster and application programming in cloud platforms including Azure, IBM, AWS and GCP.
Hands on experience Data Science / Big Data technology and architecture

4.00-13.00 Years",3.8,"Larsen & Toubro Infotech Limited
3.8",Mumbai,10000+ Employees,1997,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
4,Data Analytics Intern - 2023,"Size
1001 to 5000 Employees
Founded
1998
Type
Company - Private
Industry
Internet & Web Services
Sector
Information Technology
Revenue
$2 to $5 billion (USD)","Titan is an email platform for entrepreneurs, inventors, and creators, built by a team that cares deeply about productivity, creativity, and aesthetics. We are one of the first business email and calendar suites that helps you build deeper, more meaningful relationships with your customers.
Titan believes that customers deserve email that leverages technology to focus on what matters and intelligently deals with what does not. We believe that small businesses are better served by well-designed, cost-effective tools that solve for communication and knowledge than overbuilt, expensive ones.
Titan is founded and headed by Bhavin Turakhia, who has also been the Founder/Co-Founder of Directi, Radix and Zeta with 1000+ employees, millions of customers and a combined enterprise value of over $2 billion.
In 2021, Titan received a $30M investment from Automattic, parent company of Wordpress.com, valuing Titan at $300M.",4.2,"Directi
4.2",Mumbai,1001 to 5000 Employees,1998,Company - Private,Internet & Web Services,Information Technology,$2 to $5 billion (USD)
5,Data Analytics,-1,"We are Indias leading political consulting organization, dedicated to providing high quality professional support for political campaigns. In this capacity, we have been fortunate to be a part of the momentous election campaigns of 2014, 2019 and various other state elections. Our work includes envisioning and executing innovative electioneering campaigns, facilitating capacity building of grassroots cadre and shaping governance. We add professional aspects to the strengths of the scores of grassroots workers and ensure optimal electoral results.
We are a diverse group of dedicated individuals including former management consultants, lawyers, engineers, political theorists, public policy professionals and other people from varied sectors from premier institutes and corporates, with the unified objective of meaningfully contributing to the polity of the nation.
Data plays an important role in the work that we do here at Nation with Namo. We are looking for a data analyst who is keen on solving problems from first principles and provides insights and actionables to the team.",4.3,"Nation with NaMo
4.3",Delhi,201 to 500 Employees,Company - Private,Colleges & Universities,Education,Unknown / Non-Applicable,-1
6,Data Science,"₹9,55,755 /yr (est.)","India
Corporate services, infrastructure and facilities
Group Functions
Job Reference #
229109BR
City
Mumbai
Job Type
Full Time",3.9,"UBS
3.9",Mumbai,10000+ Employees,1862,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
7,Data Scientist,-1,"Responsibilities:
 Undertaking data collection, preprocessing and analysis
 Building models to address business problems
 Presenting information using data visualization techniques
 Identify valuable data sources and automate collection processes
 Undertake preprocessing of structured and unstructured data
 Analyze large amounts of information to discover trends and patterns
 Build predictive models and machine-learning algorithms",-1,TheHive,Remote,-1,-1,-1,-1,-1,-1
8,Data Scientists,"₹6,00,000 /yr (est.)","Position
Location
Qualification
Age Limit

Data Scientists

Mumbai

Degree in Engineering /Maths / Comp Science / Data Science Programme from a recognised institute

Upto 35 years",4.3,"CDSL
4.3",Mumbai,51 to 200 Employees,Government,National Services & Agencies,Government & Public Administration,$2 to $5 billion (USD),-1
9,Data Scientist,"₹10,13,471 /yr (est.)","Data Scientist

This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office.
Job Description:

Hewlett Packard Enterprise is the global edge-to-cloud company advancing the way people live and work. We help companies connect, protect, analyze, and act on their data and applications wherever they live, from edge to cloud, so they can turn insights into outcomes at the speed required to thrive in today’s complex world. Our culture thrives on finding new and better ways to accelerate what’s next. We know diverse backgrounds are valued and succeed here. We have the flexibility to manage our work and personal needs. We make bold moves, together, and are a force for good. If you are looking to stretch and grow your career our culture will embrace you. Open up opportunities with HPE.
Marketing
Expert",4.3,"Hewlett Packard Enterprise
4.3",Bangalore,10000+ Employees,2015,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
10,Data Scientist,"₹6,89,593 /yr (est.)","India
Operations
Investment Bank
Job Reference #
260839BR
City
Pune
Job Type
Full Time",3.9,"UBS
3.9",Pune,10000+ Employees,1862,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
11,Data Scientist,"₹24,00,000 /yr (est.)","Looking for a hands-on and passionate Data-Scientist to design & build large-scale Predictive and Prescriptive solution(s) that are expected to provide meaningful pro-active business insights in Construction Tech Analytics software, thereby helping save $$$ to Oracle customers !
Key Competencies: Hands-on model building for Data Science, NLP & Computer Vision problems. The ideal candidate understands human behavior and knows what to look for in the data, and can work closely with the engineering and product management teams to solve complex problems with unique data, analysis, algorithms, and insights, and is expected to build and lead a team around these competencies. We are looking for the following Key skills and Educational Qualifications & Industry experience levels:
Role:





Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.

As a member of the software engineering division, you will take an active role in the definition and evolution of standard practices and procedures. You will be responsible for defining and developing software for tasks associated with the developing, designing and debugging of software applications or operating systems.

Work is non-routine and very complex, involving the application of advanced technical/business skills in area of specialization. Leading contributor individually and as a team member, providing direction and mentoring to others. BS or MS degree or equivalent experience relevant to functional area. 7 years of software engineering or related experience.",3.9,"Oracle
3.9",Bangalore,10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
12,Data Scientist,-1,"Technical skills:
Experience in R and/or Python.
Statistical modelling tools
Additional programming skills like Java and Scala would be a plus.
Relevant Experience & Duties:
Build data sets to empower operational and exploratory analysis of data to transform data into information and ‘data for action’.
Design and implement reporting and metrics that track and monitor the performance, quality and overall outcome of various public health program in communicable and noncommunicable diseases.",5.0,"Datrax Services Pvt Ltd
5.0",Mumbai,1 to 50 Employees,2019,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
13,Data scientist,"₹2,98,862 /yr (est.)","Job Summary
Do you think working for a growing start-up is intriguing?
Is solving challenging problems in a fast-paced environment exciting to you?
Do you like wearing multiple (proverbial) hats?
Do you know the third, fourth and fifth decimal place for ?
Are you comfortable working with large and complex datasets?
If you answered “YES” to the above questions, read on …
Truview was founded to solve a key gap of services for e-commerce companies – we help ecommerce companies identify revenue growth opportunities and help save costs . Unlike larger firms that provide limited roles for every team member, we model our team so that every member gets to take a project from idea to execution. You get to wear many hats and get to be hands on for a variety of technology.",4.8,"Tru View
4.8",Mumbai,51 to 200 Employees,1995,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
14,Data scientist,-1,"Data scientist
0-1 year experience

WHY MUDRACIRCLE
To apply for the position posted or for submitting your CV for any other position email us at hr@mudracircle.com",-1,MudraCircle,Mumbai,-1,-1,-1,-1,-1,-1
15,Data Scientist,"₹10,57,215 /yr (est.)","Introduction
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run today - planes and trains take off on time, bank transactions complete in the blink of an eye and the world remains safe because of the work our software developers do. Whether you are working on projects internally or for a client, software development is critical to the success of IBM and our clients worldwide. At IBM, you will use the latest software development tools, techniques and approaches and work with leading minds in the industry to build solutions you can be proud of.

Your Role and Responsibilities
We are looking for Software Developers responsible for the development, design and implementation of Enterprise Software Applications for IBM. Typically sitting within the engineering team, a Software Developer will be involved in liaising with the Business Analysts, Offering managers and Delivery Managers to ensure software projects meet requirements. We use a number of open source tools and technologies in the development of our applications that are deployed on public cloud.
Who are you:
As Build Labs Team Data Scientist, you will support the creation of cloud applications that work smarter and more effectively by infusing data science workflows to extract business insights from data. These insights will drive increased value – for many of the biggest and most complex ISV partner applications. You will work with a team of engineers with expertise in industry-leading Cloud platforms and technologies to implement these transformations.

To succeed, you will become a trusted collaborator with ISV partner developers and data scientists as they move their technologies and offerings to IBM software solutions across multi-cloud platforms. You will have an opportunity to consult and provide guidance to ISV partners as they integrate their products, services and offerings to IBM software solutions across multi-cloud platforms.
This role will interface with marketing, expert services, development, other IBM delivery organizations and business development leaders to ensure successful outcomes. Candidates must be comfortable working in a dynamic and rapidly evolving agile work environment.
This is an opportunity for you to help IBM and external partners succeed in growing cloud presence.

:",4.1,"IBM
4.1",Ahmedabad,10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
16,Data Scientist,"₹9,40,693 /yr (est.)","Aufgaben
Background

Mercedes Benz cars are equipped with Advanced Driver Assistance Systems (ADAS) and continuously new features/technologies are added in these systems to add more intelligence in them. The development or the customer cars then collect various vehicle, sensor and environment data. These vehicles at the end of their test drives or upon satisfying some trigger conditions will upload different sensor and vehicle data that are logged in binary formats (in TBs) into a Big Data cluster. The data engineering team has the responsibility to provide a 24x7 pipeline, which will ingest the data to the cluster, extract and transform to readable format. This data is further analysed and the performance of the ADAS systems are monitored.




Skill Requirements:
Essential Skills and experience:
Key Job Responsibilities:",4.2,"Mercedes-Benz Research and Development India Private Limited
4.2",Bangalore,10000+ Employees,1886,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable
