Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,employer_provided_salary,min_salary,max_salary,avg_salary,company_text,company_age,python_yn,R_yn,sql_yn,excel_yn
Data Scientist - IT,₹21L - ₹22L (Glassdoor Est.),"Job Location
Mumbai

Job Description

P&G was founded over 180 years ago as a simple soap and candle company. Today, we're the world’s largest consumer goods company and home to iconic, trusted brands that make life a little bit easier in small but meaningful ways. We've spanned three centuries thanks to three simple ideas: leadership, innovation and citizenship. The insight, innovation and passion of hardworking teams has helped us grow into a global company that is governed responsibly and ethically, that is open and transparent, and that supports good causes and protects the environment. This is a place where you can be proud to work and do something that matters.

Dedication from Us:
You'll be at the core of breakthrough innovations, be given exciting assignments, lead initiatives, and take ownership and responsibility, in creative work spaces where new ideas flourish. All the while, you'll receive outstanding training to help you become a leader in your field. It is not just about what you'll do, but how you'll feel: encouraged, valued, purposeful, challenged, heard, and inspired.


Continuous mentorship – you will collaborate with passionate peers and receive both formal training as well as day-to-day mentoring from your manager dynamic and supportive work environment– employees are at the centre, we value every individual and support initiatives, promoting agility and work/life balance.


We are an equal opportunity employer and value diversity at our company. Our mission of diversity and inclusion is: “Everyone valued. Everyone included. Everyone performing at their peak”.

Responsible for building advanced analytic (ML/AI/Optimization) algorithms within a Data Science program and working with Business Partners and Friends of Data Science to insert algorithms into business processes and activate them directly with the business.

Job Schedule
Full time

Job Number
R000062313

Job Segmentation
Experienced Professionals (Job Segmentation)

Job Qualifications",4.2,"Procter & Gamble
4.2",Mumbai,10000+ Employees,1837,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),0,21 , 22 ,21.5,"Procter & Gamble
",185,0,1,0,0
Junior Data Scientist,Employer Provided Salary:₹2L - ₹3L,"1+ years of hands-on experience with the Python or R, SQL
1+ yrs. of data science/analytics experience.
Experience with traditional Machine Learning
Well-developed analytical, logical and problem solving skills
Working knowledge of Statistics, common data science took kits
Excellent communication (written and oral) & technical writing skills
Working experience in containerized, cloud-based environments - AWS/Google could.
Experience with developing and maintaining CI/CD pipelines
Experience in designing, developing, deploying and operating scalable RESTful micro-services",-1.0,Dhrima Solutions LLP,Rājkot,-1,-1,-1,-1,-1,-1,1,2 , 3,2.5,Dhrima Solutions LLP,-1,1,1,1,1
Data Science - Manager,₹3L - ₹14L (Glassdoor Est.),"Audit Transformation – Data Science – Manager/Sr. Manager
Deloitte’s Audit and Assurance business embraces the promise of artificial intelligence and machine learning, with various forms of AI and ML embedded in the audit technology solutions currently used by our 10,000+ practitioners today. Within our dedicated Data Science organization, a subgroup of the Audit Transformation group, we continue that journey enabling the next generation of AI-enabled solutions that usher in a future that completely transforms the way our practitioners perform their audit work, and the insights we can provide to our clients.
The Data Science group consists of a blend of auditors and data scientists working hand-in-hand to capitalize on our world-class data assets and ideate, design, develop, deploy, and manage AI and ML solutions that can be integrated into our existing Omnia ecosystem to increase the quality of our audits, and automate mechanical processes. You will be joining a growing team of talented professionals dedicated to realizing the vision of an AI-enabled audit.",4.1,"Deloitte
4.1",Bangalore,10000+ Employees,1850,Company - Private,Accounting & Tax,Finance,$10+ billion (USD),0,3 , 14 ,8.5,"Deloitte
",172,0,1,0,0
Sr. Data Scientist,₹11L - ₹21L (Glassdoor Est.),"Job Description
We are looking for Senior Data scientist to join our Data Analytics team (offices working in Hybrid model). This is an amazing opportunity to support the team for analysis of Real world data (RWD) by taking individual responsibility of assigned projects. The team consists of around 30 people and the reporting is to the Manager – Data Analytics.
Joining our team of Data analyst/Data scientist, you will support the team for analysis of Real-world data (RWD) by taking individual responsibility of assigned projects. As a member you will be conducting retrospective data analysis including data management and statistical programming as well as the development of RWD dashboards by translating the Methodology into complex algorithms in collaboration with Team.
Bachelor's/Master’s degree in computer engineering preferred
6+ Years’ experience in a Data Scientist role",3.5,"Clarivate
3.5",Bangalore,10000+ Employees,2016,Company - Public,Information Technology Support Services,Information Technology,$2 to $5 billion (USD),0,11 , 21 ,16.0,"Clarivate
",6,0,1,0,0
PS Manager - Site Data Scientist,₹22L - ₹22L (Glassdoor Est.),"Job Location
Bhopal

Job Description

P&G was founded over 180 years ago as a simple soap and candle company. Today, we're the world’s largest consumer goods company and home to iconic, trusted brands that make life a little bit easier in small but meaningful ways. We've spanned three centuries thanks to three simple ideas: leadership, innovation and citizenship. The insight, innovation and passion of hardworking teams has helped us grow into a global company that is governed responsibly and ethically, that is open and transparent, and that supports good causes and protects the environment. This is a place where you can be proud to work and do something that matters.

Dedication from Us:
You'll be at the core of breakthrough innovations, be given exciting assignments, lead initiatives, and take ownership and responsibility, in creative work spaces where new ideas flourish. All the while, you'll receive outstanding training to help you become a leader in your field. It is not just about what you'll do, but how you'll feel: encouraged, valued, purposeful, challenged, heard, and inspired.


Continuous mentorship – you will collaborate with passionate peers and receive both formal training as well as day-to-day mentoring from your manager dynamic and supportive work environment– employees are at the centre, we value every individual and support initiatives, promoting agility and work/life balance.


We are an equal opportunity employer and value diversity at our company. Our mission of diversity and inclusion is: “Everyone valued. Everyone included. Everyone performing at their peak”.


You will provide technical leadership in supporting OU innovation projects and act as a key enabler in leading and delivering results against challenges. You will work with the innovation team looking at new platforms, machine control, data processing and analytics. You will also:

Develop and plan required analytic projects in response to business needs. Leverage data science tools to solve the toughest process problems in the region.

Develop new analytics/predictive/prescriptive modeling methods and/or tools as required. Propose prescriptive analytic models to build robust and fault-tolerant process control strategies to reduce Operations Effort and improve product quality

Work with process/equipment experts and application developers to identify data relevant for analysis.

Contribute together with process/equipment owners and ITOT to the development and evolution of data models for analytical capabilities. Own data model and maintenance and development for hub-site

Develop and maintain data pipelines for the hub-site

Contribute to define work processes to deploy and maintain predictive/analytical modeling architectures, modeling standards, alarming and reporting, and data analysis methodologies.

Conduct external focus research to drive suggestions on analytical modeling products, services, protocols, and standards that might support and speed-up the smart manufacturing journey.

Identify, diagnose, and resolve prognostics model performance issue. Leverage Reliability Engineering enhance with data science to develop new solutions to reduce losses.


We are an equal opportunity employer and value diversity at our company. Our mission of Diversity and Inclusion is: “Everyone valued. Everyone included. Everyone performing at their peak”.

Job Schedule
Full time

Job Number
R000062410

Job Segmentation
Experienced Professionals (Job Segmentation)


Sufficient business knowledge to understand what data is important, when findings are relevant, and how to exploit data to make decisions.

Strong familiarity with data preparation and processing.

Strong analytical statistical and mathematical modeling capabilities to form hypothesis and to collect, explore, and extract insights from structure and unstructured data to rationally transform raw data into useful information to improve process/equipment operation and maintenance.

Efficient use of software for data visualization, statistical analysis and ML, e.g., Python, R, SAS, Azure ML, Matlab, PowerBi, Tableau, and familiarity with functional programming and scripting languages, e.g., .NET, VB, C++, Python, Matlab.

Understanding data architecture concepts, i.e., relational database structures, data warehouse, big data management, data queries, etc.

Technical understanding of mechatronic systems / first principles (combining principles of process, mechanic, electrical, control and systems engineering)

Teamwork attitude with clear technical communication",4.2,"Procter & Gamble
4.2",Bhopal,10000+ Employees,1837,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),0,22 , 22 ,22.0,"Procter & Gamble
",185,1,1,0,0
Supply Chain Network Data & Analytics Specialist,₹3L - ₹4L (Glassdoor Est.),"Relocation Assistance Offered Within Country
# 141580 - Mumbai, Maharashtra, India

About Colgate-Palmolive:
Do you want to come to work with a smile and leave with one as well? In between those smiles, your day consists of connecting with others across the world, full of stimulating discussions, and making impactful contributions!
If this is how you see your career, Colgate is the place to be! Our diligent household brands, dedicated employees, and sustainability commitments make us a company passionate about building a future to smile about for our employees, consumers, and surrounding communities. We win as a global organization by continually learning and collaborating. The pride in our brand fuels a workplace that encourages creative thinking champions experimentation and promotes authenticity which has contributed to our enduring success. If you want to work for a company that lives by its values, then give your career a reason to smile...every single day.",4.2,"Colgate-Palmolive
4.2",Mumbai,10000+ Employees,1806,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),0,3 , 4 ,3.5,"Colgate-Palmolive
",216,0,1,0,0
Sr. Data Scientist,Employer Provided Salary:₹37L,"Our client Successful SA technology group is looking to hire a full-time remote Senior Data Scientist.
The Senior Data Scientist will actively lead the application of data science methods, which includes machine learning, deep learning, artificial intelligence and predictive analytics, required to meet the company’s business interests as well as that of their clients.
Relevant degree in Data Science, Statistics or equivalent quantitative field
Minimum 5+ years of experience
The ideal candidate would have knowledge in:
Machine learning",-1.0,Insourcedev Pvt Ltd,Remote,-1,-1,-1,-1,-1,-1,1,37,37,37.0,Insourcedev Pvt Ltd,-1,0,1,0,0
Lead Data Scientist,₹16L - ₹25L (Glassdoor Est.),"At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a company where diversity, equity and inclusion are shared values. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us.
Job Title: Experienced Data Analyst
Boeing is the world’s largest (Per Boeing LinkedIn page) aerospace company and a leading provider of commercial airplanes, defense, space, and security systems, and global services. Building on a legacy of over a century of innovation and leadership, Boeing continues to lead the way in technology and innovation, customer delivery, and investment in its people and future growth of aerospace.",3.8,"BOEING
3.8",Bangalore,10000+ Employees,1916,Company - Public,Aerospace & Defence,Aerospace & Defence,$10+ billion (USD),0,16 , 25 ,20.5,"BOEING
",106,0,1,0,0
Data Science,₹5L - ₹8L (Glassdoor Est.),"Responsibilities
Design and develop ML / NLP models for the project requirement
Deliver ownership to setup ML / NLP models with respect to tools, data and infrastructure as required
Work closely with Product Owner and Product architect right from ML based solution conceptualization till implementation in response to a client requirement
Thought leadership on building ML/NLP based solution based on client requirements
Lead the ML / NLP dialogue during the customer visits and other partner events
Required Skills & Competencies
Strong knowledge of machine learning / NLP algorithms– Information extraction, named entity recognition, text clustering, Knowledge Graph,text summarization, intent classification, word embeddings, vector space models; experience in developing models
Strong experience in NLP using Python; experience in developing microservices and web services
Understanding of data and data analysis; experience with large data sets
Thorough with pandas, scikit and numpy
4+ years of experience implementing and deploying machine learning and deep learning frameworks (Spark, TensorFlow, Keras, Caffe, etc.) through distribution cluster and application programming in cloud platforms including Azure, IBM, AWS and GCP.
Hands on experience Data Science / Big Data technology and architecture

4.00-13.00 Years",3.8,"Larsen & Toubro Infotech Limited
3.8",Mumbai,10000+ Employees,1997,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,5 , 8 ,6.5,"Larsen & Toubro Infotech Limited
",25,1,1,0,0
"Senior Analyst- Research & Insights- Data Science, Data Analyst",₹5L - ₹8L (Glassdoor Est.),"Data analyst, Deloitte Health Equity Institute, Center for Health Solutions, Deloitte Services LP
Background:
Deloitte has launched a new social innovation organization called the Deloitte Health Equity Institute (DHEI). DHEI is a data-driven pro bono services, philanthropic, and knowledge development hub within Deloitte’s Center for Health Solutions (DCHS). DCHS is one of the industry research Centers under the Research and Insights (R&I) group.
DHEI draws on Deloitte’s array of capabilities to activate health equity across the United States, helping to realize our firm’s Purpose by moving the field for public good and advancing equitable health outcomes at scale.
CBG_RI",4.1,"Deloitte
4.1",Hyderābād,10000+ Employees,1850,Company - Private,Accounting & Tax,Finance,$10+ billion (USD),0,5 , 8 ,6.5,"Deloitte
",172,0,1,0,0
Data Scientist,₹6L - ₹15L (Glassdoor Est.),"Aufgaben
Qualifications:
Advanced Python Knowledge.
Advanced time series forecasting modelling.
Experience with Object Oriented Programming in Python.
Experience with Machine Learning algorithms.
Fluent in English.
Proactive, good communicator, critical thinking, whole product view (not just feature development), aim for sustainability of the product, team player.

Responsibilities:",4.2,"Mercedes-Benz Research and Development India Private Limited
4.2",Bangalore,10000+ Employees,1886,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,0,6 , 15 ,10.5,"Mercedes-Benz Research and Development India Private Limited
",136,1,1,0,0
Data scientist - Battery models,₹6L - ₹15L (Glassdoor Est.),"Aufgaben
Data Scientist (Battery Modelling and Ageing )
About MBRDI
Mercedes-Benz Research & Development India Headquartered in Bengaluru was founded in 1996 as a captive unit to support Daimler’s research, IT and product development activities. We focus on topics ranging from computer-aided design and simulations (CAD, CAE) for powertrain, chassis and exteriors to embedded systems, telematics and developing various IT applications and tools. The satellite office in Pune specializes in interior component designs and IT engineering. It is now one of the largest global R&D centers outside Germany, employing more than 3000 + skilled engineers. It aims to partner closely with suppliers in India for its activities in product development and IT services.
""We are an equal opportunity employer and value diversity at our company"".
Job Description:
The position presents a unique opportunity to improve and transform the current state of art in the field of Battery Ageing Analytics. The ideal candidate will:
1. Work with the battery experts to identify the improvement areas in the current available techniques.
2. Provide quality solution design for the identified areas.
3. Transform the current state of Battery Ageing techniques using Machine Learning techniques.
4. Design methods to handle high volume of Data, data cleansing, processing, efficient storing.
5. Accelerate Data science Model Development and Model Management using cloud native solutions.
Expected Skills:
Level :: Advanced",4.2,"Mercedes-Benz Research and Development India Private Limited
4.2",Bangalore,10000+ Employees,1886,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,0,6 , 15 ,10.5,"Mercedes-Benz Research and Development India Private Limited
",136,0,1,0,0
Data Scientist,Employer Provided Salary:₹5L - ₹15L,"Technical skills:
Experience in R and/or Python.
Statistical modelling tools
Additional programming skills like Java and Scala would be a plus.
Relevant Experience & Duties:
Build data sets to empower operational and exploratory analysis of data to transform data into information and ‘data for action’.
Design and implement reporting and metrics that track and monitor the performance, quality and overall outcome of various public health program in communicable and noncommunicable diseases.",5.0,"Datrax Services Pvt Ltd
5.0",Mumbai,1 to 50 Employees,2019,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,1,5 , 15,10.0,"Datrax Services Pvt Ltd
",3,1,1,0,0
Junior Data Scientist,Employer Provided Salary:₹2L,"Designation:
Data Scientist Jr. level
Expected start date in team:
1 Dec. 2022
Hiring Team:
Data Science team
Count of open positions:
3",-1.0,Flairmid Software Pvt Ltd,Pune,-1,-1,-1,-1,-1,-1,1,2,2,2.0,Flairmid Software Pvt Ltd,-1,0,1,0,0
"Manager – Data Analytics & Scientific Computing @ L'Oreal, R&I, Mumbai",₹2L - ₹6L (Glassdoor Est.),"L'Oréal Research & Innovation might be exactly the place you have always been looking for !

For more than hundred years, L’Oréal believes that beauty needs Science. In a world now transformed by digital technology and the emergence of new scientific Domains, we are confident in our ability to turn these opportunities into major innovations, closely linked to the new consumer expectations all over the world. Science & Technology are allowing us to invent safe, trustable, sustainable & responsible beauty products and experiences that will change people’s lives.
L’Oréal R&I has continuously invested upstream in its research with a high level of ambition. Our 4000 L'Oréal R&I people are talented and highly skilled, located in major markets, working in a cooperative way, opened to the world.
India –",3.9,"L'Oreal
3.9",Mumbai,10000+ Employees,1909,Company - Private,Consumer Product Manufacturing,Manufacturing,$2 to $5 billion (USD),0,2 , 6 ,4.0,"L'Oreal
",113,0,1,0,0
"Data & Analytics Analyst, AVP",₹6L - ₹14L (Glassdoor Est.),"Our people work differently depending on their jobs and needs. From home working to job sharing, visit the remote and flexible working page on our website to find out more.
This role is based in India and as such all normal working days must be carried out in India.
Join us as a Data & Analytics Analyst, AVP
This is an opportunity to take on a purpose-led role in a cutting edge Data & Analytics team
You’ll be consulting with our stakeholders to understand their needs and identify suitable data and analytics solutions to meet them along with business challenges in line with our purpose
You’ll bring advanced analytics to life through visualisation to tell powerful stories and influence important decisions for key stakeholders, giving you excellent recognition for your work",3.9,"NatWest Group
3.9",Gurgaon,10000+ Employees,1727,Company - Public,Banking & Lending,Finance,$10+ billion (USD),0,6 , 14 ,10.0,"NatWest Group
",295,0,1,0,1
Machine Learning Engineer,Employer Provided Salary:₹7L - ₹15L,"We are looking for a passionate Machine Learning Engineer who will be responsible for adding machine learning based analytics features to our scalable SaaS products.
Job Details:
Job Title: Machine Learning Engineer
Experience Required: 2-6 years
Location: Baner, Pune / [Fully Remote]
Qualification: Bachelor’s degree in Computer Science, Engineering or related discipline
What we expect:",-1.0,Finarkein Analytics Pvt. Ltd.,Pune,-1,-1,-1,-1,-1,-1,1,7 , 15,11.0,Finarkein Analytics Pvt. Ltd.,-1,0,1,0,0
Data Science,₹3L - ₹19L (Glassdoor Est.),"India
Corporate services, infrastructure and facilities
Group Functions
Job Reference #
229109BR
City
Mumbai
Job Type
Full Time",3.9,"UBS
3.9",Mumbai,10000+ Employees,1862,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),0,3 , 19 ,11.0,"UBS
",160,0,1,0,0
